축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
간절곶해맞이,간절곶공원,2020-12-31,2021-01-01,"해넘이 전야제, 해맞이행사",울주문화원+울산문화방송,울주군,울산광역시,052-204-0313,http://www.ulju.ulsan.kr/ulju,,울산광역시 울주군 서생면 간절곶1길 39-2,울산광역시 울주군 서생면 대송리 28-1,35.35897306,129.3602963,2020-10-15,6310000,울산광역시
영천문화예술제,영천강변공원 일원,2021-10-15,2021-10-17,"예술단체 작품 전시, 체험부스, 각종 경연 및 공연행사 등",영천문화예술제추진위원회,영천문화예술제추진위원회,경상북도 영천시,054-330-6365,https://www.yc.go.kr/tour/contents.do?mId=0709030000,,,경상북도 영천시 문외동 137-5,35.9730714,128.9328273,2021-02-26,5100000,경상북도 영천시
영천보현산별빛축제,보현산천문과학관 일원,2021-10-08,2021-10-10,"천문?과학?우주 관련 주제관 및 체험관 운영, 천문학 강의, 스타파티, 각종 참여 프로그램 등",영천보현산별빛축제위원회,영천보현산별빛축제위원회,경상북도 영천시,054-330-6702,https://www.yc.go.kr/toursub/star/,보현산천문대,경상북도 영천시 화북면 별빛로 681-32,경상북도 영천시 화북면 정각리 689,36.1402561,128.9964736,2021-02-26,5100000,경상북도 영천시
겨울왕국 제천페스티벌,시내 및 의림지 일원,2021-12-24,2022-01-23,겨울벚꽃 및 얼음 축제,(재)제천문화재단,(재)제천문화재단,제천시,043-641-4870,http://www.jccf.or.kr,,충청북도 제천시 의림대로 242,충청북도 제천시 청전동 110,37.1493417,128.2160865,2021-06-18,4400000,충청북도 제천시
미정,미정,2021-01-01,2021-01-01,미정,미정,미정,,,,,경상남도 산청군 산청읍 산엔청로1,,35.41517175,127.8729916,2021-06-17,5450000,경상남도 산청군
2021함양산삼항노화엑스포,"상림공원(제1행사장), 대봉산휴양밸리(제2행사장)",2021-09-10,2021-10-10,"전시연출,산업전시,학술회의,공연이벤트,체험행사(20개 테마, 37개 콘텐츠, 223개 프로그램)",함양산삼항노회엑스포조직위원회,경상남도+함양군+산림청,,055-964-3382,expo-wg.com,,,경상남도 함양군 함양읍 교산리 1047-1,35.52424257,127.7206714,2021-06-16,5460000,경상남도 함양군
제24회 보령머드축제,충청남도 보령시 대천해수욕장 일원,2021-07-23,2021-08-01,머드체험시설 및 갯벌체험 등,(재)보령축제관광재단,보령시,,041-930-0891,http://www.mudfestival.or.kr,,충청남도 보령시 대해로 897-15,충청남도 보령시 신흑동 2022,36.304497,126.517028,2021-06-14,4510000,충청남도 보령시
단기4353년 개천절 대제전,사직동 단군성전,2021-10-03,2021-10-03,국조 단군의 개국을 기념하는 전통제례 봉행 및 부대행사,(사)현정회,(사)현정회,"문화체육관광부, 서울특별시, 종로구",02-736-6375,http://blog.naver.com/lgb301,,서울특별시 종로구 인왕산로 22,서울특별시 종로구 사직동 1-28,37.5758942,126.9658032,2021-06-08,3000000,서울특별시 종로구
단기4353년 어천절 대제전,사직동 단군성전,2021-04-26,2021-04-26,국조 단군의 승천을 기념하는 전통제례 봉행 및 부대행사,(사)현정회,(사)현정회,"문화체육관광부, 서울특별시, 종로구",02-736-6375,http://blog.naver.com/lgb301,,서울특별시 종로구 인왕산로 22,서울특별시 종로구 사직동 1-28,37.5758942,126.9658032,2021-06-08,3000000,서울특별시 종로구
D.FESTA 대학로 거리공연축제,대학로 마로니에공원,2021-05-28,2021-05-30,다양한 우수거리공연,(사)한국소극장협회,(사)한국소극장협회,"한국문화예술위원회, 서울특별시, 종로구, 서울연극협회",02-3674-0471,www.smalltheater.or.kr,,"서울특별시 종로구 동숭4길14, 2층",서울특별시 종로구 동숭동 12-8,37.58331245,127.004369,2021-06-08,3000000,서울특별시 종로구
2021 종로한복축제,종묘광장 등 종로구 일대,2021-10-09,2021-10-10,한복을 중심으로 한 전통행사,(재)종로문화재단,종로구,"서울특별시, 문화체육관광부, 한국관광공사",02-2148-1803,https://jongnohanbok.kr/site/main/home,,"서울특별시 종로구 새문안로3길 3, 6층",서울특별시 종로구 신문로1가 58-15,37.570671,126.972381,2021-06-08,3000000,서울특별시 종로구
세종마을 세종주간 축제,"세종마을 일대, 수성동계곡",2021-10-09,2021-10-09,"훈민정음반포식, 세종마을미술제 개최 등",(사)세종마을가꾸기회,(사)세종마을가꾸기회,종로구,02-732-2828,,,서울특별시 종로구 옥인3길 14,서울특별시 종로구 누상동 29-1,37.580744,126.966006,2021-06-08,3000000,서울특별시 종로구
양지암축제,양지암공원,2099-01-01,2099-01-01,푸른바다를 두른 양지암과 조각품의 아름다움에 취하다,양지암축제추진위원회,양지암축제추진위원회,,055-639-6797,,,,경상남도 거제시 능포동 408-2,,,2021-05-10,5370000,경상남도 거제시
거제맹종대나무축제,거제맹종죽테마파크,2099-01-01,2099-01-01,봄의 기운이 더욱 푸르러지는 4월. 하청면의 명소 거제맹종죽 테마파크 죽림포레스티벌로의 초대,거제맹종죽영농조합법인,거제맹종죽영농조합법인,,055-639-6353,,,,경상남도 거제시 하청면 실전리 산84-6,,,2021-05-10,5370000,경상남도 거제시
거제 옥포대첩 축제,옥포대첩기념공원/ 옥포동 일원,2099-01-01,2099-01-01,"옥포대첩축제로 명칭 변경, 임진왜란 첫 승전인 옥포대첩을 기념하는 행사로/ 기념식을 비롯하여 문화예술/ 민속/ 이벤트행사 등이 다양하게 진행되며 시민 참여마당 및 볼거리를 제공합니다.",경상남도 거제시,경상남도 거제시,,055-639-3393,,,,경상남도 거제시 옥포동 7,34.90219568,128.7140612,2021-05-10,5370000,경상남도 거제시
남부면 수국축제,매물도 여객선 주차장,2099-01-01,2099-01-01,남부면에서 20여년 동안 가꾸어 온 아름다운 수국꽃을 시민 및 관광객들에게 선물을 선사하다,남부면 발전 협의회,경상남도 거제시 남부면,,055-639-6531,,,,경상남도 거제시 남부면 저구리 70,34.73225056,128.6101227,2021-05-10,5370000,경상남도 거제시
바다로 세계로,거제시 일원,2099-01-01,2099-01-01,스포츠와 함께하는 여름축제로 매년 7월말에서 8월초순 경에 개최되는 한려수도 해양축제 “바다로 세계로”는 천혜의 관광자원과 문화예술공연을 함께 즐길 수 있는 전국 최대규모의 해양축제.,㈜엠비씨경남,경상남도 거제시 관광마케팅과,,055-639-4783,,,경상남도 거제시 계룡로 125,,34.88052883,128.6208143,2021-05-10,5370000,경상남도 거제시
거제맥주축제,장승포 수변공원,2099-01-01,2099-01-01,"음악공연, 즉석 댄스 등 경연, 이벤트 및 각종 퍼포먼스(2020년도 취소)",거제맥주축제추진위원회,거제맥주축제추진위원회,,055-639-3373,,,,경상남도 거제시 장승포동 685-3,,,2021-05-10,5370000,경상남도 거제시
거제학동몽돌해변 불꽃축제,학동흑진주몽돌해변,2099-01-01,2099-01-01,우수한 관광자원이 몽돌을 소재로 전국적으로 특색 있고/ 차별화된 축제를 통하여 우리 시의 인지도 향상 및 볼거리 등으로 체험형 문화관광 축제(2020년도 취소),경상남도 거제시 동부면,경상남도 거제시 동부면,,055-639-6511,,,,경상남도 거제시 동부면 학동리 284-1,34.77438469,128.6408652,2021-05-10,5370000,경상남도 거제시
거제 섬꽃축제,거제시 농업개발원,2020-10-31,2020-11-08,야외 가을꽃 전시만 운영/ 코로나19 확산 방지를 위해 2020년 행사 축소 운영,경상남도 거제시 농업육성과,경상남도 거제시 농업육성과,,055-639-6443,,,경상남도 거제시 거제면 거제남서로 3577,,34.85646391,128.5791869,2021-05-10,5370000,경상남도 거제시
거제 대구수산물 축제,외포항 일원(2020년 온라인 개최),2020-12-21,2020-12-22,"외포항 일원/ 볼거리/ 먹거리/ 즐길거리가 풍성 ,속까지 확 풀어주는 거제대구/ 억수로 재미있는 외포바다체험(2020년 온라인 개최)",거제대구수산물축제추진위원회,거제대구수산물축제추진위원회,,055-639-4273,,,,경상남도 거제시 장목면 외포리 57-47,,,2021-05-10,5370000,경상남도 거제시
제주유채꽃축제,서귀포시유튜브 온라인생중계,2021-04-06,2021-04-08,서귀포시 공식 SNS 실시간 송출,제주유채꽃축제조직위원회,서귀포시,,064-760-3946,http://www.jejuflowerfestival.com/,,제주특별자치도 서귀포시 표선면 녹산로 381-15,,33.3830959250,126.7362846920,2021-05-06,6520000,제주특별자치도 서귀포시
한라산청정고사리축제,축제홈페이지,2021-04-14,2021-04-30,"대한민국 관광 일번지 제주를 걷고, 보고, 만지고, 느끼는 축제입니다.",남원읍축제위원회,남원읍축제위원회,,064-760-4181,http://www.jejugosari.net/,,제주특별자치도 서귀포시 남원읍 태위로 695,,33.2798959047,126.7206770108,2021-05-06,6520000,제주특별자치도 서귀포시
서귀포유채꽃국제걷기대회,제주월드컵경기장일원,2021-04-10,2021-04-18,코로나19로 지친 몸과 마음을 달랠 수 있는 유채꽃 걷기 대회,한국체육진흥회,서귀포시,,,https://cafe.daum.net/seogwipo-walking,,제주특별자치도 서귀포시 월드컵로 33,,33.2462193733,126.5092753406,2021-05-06,6520000,제주특별자치도 서귀포시
[경기미담]경기미디어축제,경기시청자미디어센터,2021-11-19,2021-11-22,코로나19로 온앤오프로 소통하는 시대를 맞아 미디어역량 강화와 참여를 위한 미디어축제,시청자미디어재단 경기시청자미디어센터,시청자미디어재단 경기시청자미디어센터,,031-560-7220,https://kcmf.or.kr/comc/gyeonggi/,,경기도 남양주시 다산중앙로 82번안길 146,경기도 남양주시 다산동 3209-2,37.61245202,127.168117,2021-05-10,B553505,시청자미디어재단
온라인시민미디어축제,부산시청자미디어센터,2021-11-25,2021-11-26,부산·경남·제주 지역의 다양한 시민미디어활동 공유,시청자미디어재단 부산시청자미디어센터,시청자미디어재단 부산시청자미디어센터,,051-749-9500,http://kcmf.or.kr/comc/busan/,,부산광역시 해운대구 센텀중앙로42,부산광역시 해운대구 우동 1472,35.1725945,129.1303146,2021-05-10,B553505,시청자미디어재단
2021 강원ON마을축제,강원시청자미디어센터,2021-12-03,2021-12-03,마을미디어활동 성과발표회(스트리밍 진행) 및 포럼,"시청자미디어재단 강원시청자미디어센터, 강원도교육청",시청자미디어재단 강원시청자미디어센터,강원도교육청,033-240-2310,http://kcmf.or.kr/comc/gangwon/,,강원도 춘천시 서면 박사로 882,강원도 춘천시 서면 금산리 1013,37.89497098,127.6925751,2021-05-10,B553505,시청자미디어재단
2021 장애인미디어축제,부산시청자미디어센터,2021-12-09,2021-12-11,장애인의 미디어접근권 증진을 위한 배리어프리 콘텐츠 축제,시청자미디어재단 부산시청자미디어센터,시청자미디어재단 부산시청자미디어센터,동서대학교,051-749-9500,http://kcmf.or.kr/comc/busan/,,부산광역시 해운대구 센텀중앙로42,부산광역시 해운대구 우동 1472,35.1725945,129.1303146,2021-05-10,B553505,시청자미디어재단
2021 강원 시민공동체미디어 포럼,강원시청자미디어센터,2021-12-09,2021-12-09,미디어교육 정보교류 및 제안 등 주제 발표 및 토론 진행,강원시청자미디어센터,시청자미디어재단 강원시청자미디어센터,시청자미디어재단,033-240-2310,http://kcmf.or.kr/comc/gangwon/,,강원도 춘천시 서면 박사로 882,강원도 춘천시 서면 금산리 1013,37.89497098,127.6925751,2021-05-10,B553505,시청자미디어재단
2021 시청자미디어주간,대전시청자미디어센터,2021-12-09,2021-12-12,시청자들과 랜선 라이브 토크쇼와 퀴즈쇼로 소통하고 즐기는 연말 시청자미디어축제,시청자미디어재단 대전시청자미디어센터,시청자미디어재단 대전시청자미디어센터,,042-865-3700,http://kcmf.or.kr/comc/daejeon/,,대전광역시 유성구 대덕대로 512번길 20,대전광역시 유성구 도룡동 3-1,36.37835566,127.3794801,2021-05-10,B553505,시청자미디어재단
미디어위(we)크,인천시청자미디어센터,2021-12-15,2021-12-17,"인천센터의 한 해를 정리하는 미디어축제(마을 및 PA 성과발표회, 미디어 역기능 특강, 다양한 분야의 연사특강, 강사워크샵)",시청자미디어재단 인천시청자미디어센터,시청자미디어재단 인천시청자미디어센터,,032-722-7924,https://kcmf.or.kr/comc/incheon/,,인천광역시 연수구 인천타워대로 54번길 19,인천광역시 연수구 송도동 9-11,37.379722,126.646469,2021-05-10,B553505,시청자미디어재단
보은 대추 온라인축제,온라인축제,2020-10-16,2020-10-30,"대추 및 농특산물 전시판매, 랜선 콘서트, 유튜브 홈쇼핑 등",충청북도 보은군,보은군 축제추진위원회,,043-540-3392,http://www.boeunjujube.com/,,,충청북도 보은군 보은읍 이평리 45,36.489438990,127.729493257,2020-10-13,4420000,충청북도 보은군
할미성 대동제,용인중앙시장 광장,2020-10-15,2020-10-15,길놀이 행사 및 할미성 대동굿 12거리 재연,할미성대동굿보존회,용인문화원,용인시,031-324-9600,http://www.ycc50.org/,,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 560,37.24086706,127.1779688,2019-12-09,4050000,경기도 용인시
포은문화제,정몽주 묘역,2020-10-11,2020-10-13,"관혼상제, 인문학 강의, 북콘서트, 각종 경연대회, 체험부스",용인문화원,용인문화원,용인시,031-324-9600,www.poeun.co.kr,,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 560,37.24086706,127.1779688,2019-12-09,4050000,경기도 용인시
영도다리축제,"영도대교 일원, 아미르공원",2021-10-15,2021-10-17,"개막주제공연, 축하공연, 불꽃쇼, 퍼레이드, 체험행사 등",영도문화원,영도구,,051-419-4064,http://www.yeongdo.go.kr/ydfestival.web,,부산광역시 영도구 해양로301번길 55,부산광역시 영도구 동삼동 1165,35.07714964,129.0793867,2021-06-18,3280000,부산광역시 영도구
제24회 단양온달문화축제,영춘면 온달관광지 및 단양읍 일원,2021-10-22,2021-10-24,제24회 단양온달문화축제,온달문화축제추진위원회,단양문화원,단양군청,043-420-2552,https://www.danyang.go.kr/ondal,제24회 단양온달문화축제,충청북도 단양군 영춘면 온달로 23,충청북도 단양군 영춘면 하리 147,37.06295564,128.4929221,2021-06-22,4480000,충청북도 단양군
제34회 비사벌문화제,창녕읍 일원,2020-10-16,2020-10-18,"향토기양제, 비사벌문화행렬, 미술실기대회, 보부상존 운영, 각종 전시행사 등",비사벌문화제전회,비사벌문화제전회,,055-532-0993,,,경상남도 창녕군 창녕읍 학천길 13,,35.53835896,128.4987294,2020-11-25,5410000,경상남도 창녕군
청송사과축제,청송읍 용전천 변(현비암 일원),2021-11-03,2021-11-07,공연/경연/체험/전시/판매,청송군축제추진위원회,청송군,"문화체육관광부, 경상북도, 청송군의회, 청송경찰서, 청송교육지원청, 청송군관내농협, (사)청송사과협회, 청송사과유통센터, (재)청송문화관광재단",054-870-6237,,,,경상북도 청송군 청송읍 월막리 368-2,36.432499,129.054312,2021-06-21,5160000,경상북도 청송군
2021 안성맞춤 남사당 바우덕이축제,안성맞춤랜드,2021-10-01,2021-10-03,"남사당공연, 국내 전통공연, 해외민속공연, 안성장터 재현 등",안성맞춤남사당바우덕이축제위원회,안성시,문화체육관광부경기도지역진흥재단,031-678-2512,https://www.anseong.go.kr/tourPortal/baudeogi/main.do,,경기도 안성시 보개면 남사당로 198,경기도 안성시 보개면 복평리 303-3,37.03286724,127.3078041,2021-06-18,4080000,경기도 안성시
2021 안성맞춤 남사당 바우덕이축제,안성맞춤랜드,2021-10-08,2021-10-10,"남사당공연, 국내 전통공연, 해외민속공연, 안성장터 재현 등",안성맞춤남사당바우덕이축제위원회,안성시,문화체육관광부경기도지역진흥재단,031-678-2512,https://www.anseong.go.kr/tourPortal/baudeogi/main.do,,경기도 안성시 보개면 남사당로 198,경기도 안성시 보개면 복평리 303-3,37.03286724,127.3078041,2021-06-18,4080000,경기도 안성시
풍암골 신암마을 당산제,풍암 제7어린이공원내 (풍암동1129),2021-01-01,2021-01-01,(코로나19로 인한 취소) 민속고유 명절인 대보름을 맞이하여 사라져가는 전통세시풍속인 당산제를 재현하여 지역 주민들의 평안과 발전 및 풍요다산을 기원,광주광역시 서구,미정,광주광역시,062-360-7551,https://www.seogu.gwangju.kr/culture/index.9is?contentUid=4028484950895ab20151193a368d1159,,,광주광역시 서구 풍암동 1129,35.123999,126.8794277,2021-06-19,3600000,광주광역시 서구
전국 애송시 낭송대회,서구 빛고을 국악전수관 공연장,2021-06-25,2021-06-25,우리말의 아름다움과 문학의 향기를 전달하여 지역의 문학적 자긍심 제고 문화향수 기회 확대,광주광역시 서구 문화원,광주광역시 서구,광주광역시,062-681-4174,https://www.seogu.gwangju.kr/culture/index.9is?contentUid=4028484950895ab20151193a368d1159,,광주광역시 서구 풍금로 182(금호동),광주광역시 서구 금호동 791,35.1319650021,126.8598138674,2021-06-19,3600000,광주광역시 서구
서창만드리 풍년제,서구 서창동 한옥문화관 일원,2021-07-29,2021-07-29,"의식행사, 들노래 만드리 재현, 문화예술공연, 전통문화 체험부스 운영 등",광주광역시 서구,미정,광주광역시,062-360-7030,https://www.seogu.gwangju.kr/culture/index.9is?contentUid=4028484950895ab20151193a777e115b,,광주광역시 서구 서창발산길 10(서창동),광주광역시 서구 서창동 424-1,35.1071746,126.8231387,2021-06-19,3600000,광주광역시 서구
영산강 서창들녁 억새축제,영산강(극락교~서창교 3.5km)일원,2021-10-07,2021-10-10,"공식행사, 포토존, 비대면 공연, 온라인전시, 부대행사 등",광주광역시 서구,광주광역시 서구,"광주광역시, 광주환경공단",062-350-4792,www.sgfesta.co.kr,https://www.seogu.gwangju.kr/culture/index.9is?contentUid=9be5df896d3ec433016da96c433c77de,광주광역시 서구 서창둑길 377(벽진동),광주광역시 서구 벽진동 505-1,35.13849504,126.828739,2021-06-19,3600000,광주광역시 서구
서구여성합창단 정기 연주회,광주학생교육문화회관,2021-11-23,2021-11-23,(코로나19로 인한 취소 또는 연기가능) 서구여성합창단의 음악적 역량과 수준을 보여주는 정기 음악회,광주광역시 서구,광주광역시 서구,,062-360-7186,https://www.seogu.gwangju.kr/culture/index.9is?contentUid=4028484950895ab20151193a368d1159,,광주광역시 서구 경열로 33(농성동),광주광역시 서구 농성동 299,35.15202894,126.890113,2021-06-19,3600000,광주광역시 서구
제천국제음악영화제,"시내일원, 의림지",2021-08-12,2021-08-17,음악영화제,제천국제음악영화제집행위원회,제천국제음악영화제집행위원회,제천시,043-646-2242,http://www.jimff.org,,충청북도 제천시 의림대로12길 14-1,충청북도 제천시 청전동 110,37.1493417,128.2160865,2021-06-18,4400000,충청북도 제천시
제천의병제,자양영당 등,2021-10-15,2021-10-16,의병제,제천문화원,제천문화원,제천시,043-642-3646,http://www.jecheoncc.or.kr,,충청북도 제천시 의림대로 125,충청북도 제천시 중앙로2가 26-1,37.13923321,128.210774,2021-06-18,4400000,충청북도 제천시
정월대보름달맞이축제,신천변 생활체육광장,2011-02-17,2011-02-17,"달집태우기, 민속놀이, 먹거리 등",민주평화통일자문회의중구지회,대구광역시 중구,대구광역시 중구,053-661-2631,,,,대구광역시 중구 동인동2가 177-4,35.86932522,128.6061572,2021-07-01,3410000,대구광역시 중구
정월대보름달맞이축제,신천변 생활체육광장,2012-02-06,2012-02-06,"달집태우기, 민속놀이, 먹거리 등",민주평화통일자문회의중구지회,대구광역시 중구,대구광역시 중구,053-661-2631,,,,대구광역시 중구 동인동2가 177-4,35.86932522,128.6061572,2021-07-01,3410000,대구광역시 중구
장보고수산물축제,"해변공원, 장보고기념관 일원",2019-05-03,2019-05-06,"전통노젓기, 해조류김밥만들기, 열린무대 등",완도장보고수산물축제 추진위원회,전라남도 완도군청,"전라남도, 농협중앙회완도군지부",061-550-5411,www.wando.go.kr,,전라남도 완도군 완도읍 해변공원로 24,전라남도 완도군 완도읍 군내리 1443-1,34.3174470578,126.7527591647,2019-10-07,4990000,전라남도 완도군
청산도슬로우걷기축제,청산도일원,2019-04-06,2019-05-06,"나비야청산가자, 명사와 함께걷기힐링토크 등",청산도슬로우걷기축제추진위원회,전라남도 완도군청,완도군,061-550-5433,www.wando.go.kr,,전라남도 완도군 청산면 청산로 46,전라남도 완도군 청산면 도청리 1173-10,34.1797107442,126.8577890642,2019-10-07,4990000,전라남도 완도군
청정완도 가을빛 여행,완도해변 공원 일원,2018-10-19,2018-10-21,청정완도 가을빛 낭만 여행,청정완도 가을빛 여행 추진위원회,전라남도 완도군청,완도군,061-550-5411,www.wando.go.kr,,전라남도 완도군 완도읍 해변공원로 24,전라남도 완도군 완도읍 군내리 1443-1,34.3174470578,126.7527591647,2019-10-07,4990000,전라남도 완도군
도봉구민 건강축제,"도봉구청, 중랑천변",2015-10-16,2015-10-17,"도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-4422,,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
도봉 과학축전,"도봉구청 로비, 아뜨리움, 대강당, 광장 등",2015-10-23,2015-10-28,과학 체험· 전시·교육·이벤트 마당 등,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2316,http://science.dobong.go.kr,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
도봉구 등축제,우이천,2015-09-11,2015-09-30,"둘리와 친구들과 어우러지는 범선, 동물친구들 등과 추석을 앞두고 있어 전통춤 시리즈로 구성하여 등 전시",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구,,37.6617028,127.0382005,2018-05-01,3090000,서울특별시 도봉구
정의공주와 함께 하는 도봉 한글잔치,방학동 원당샘공원,2015-10-09,2015-10-09,"문화예술공연, 백일장 및 사생대회, 전통놀이체험 등",서울특별시 도봉구청,"서울특별시 도봉구청, 도봉문화원",,02-905-4026,,,서울특별시 도봉구 원당샘공원,,37.666670,127.033750,2018-05-01,3090000,서울특별시 도봉구
정월대보름 큰잔치,"도봉구청 광장, 중랑천변",2015-03-05,2015-03-05,"길놀이, 풍물놀이, 소원지 붙이기, 달집태우기, 민속놀이 체험마당,청소년 동아리 프로그램 공연 및 솟대외줄타기 공연",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구 마들로 656,,37.6707774,127.0483768,2018-05-01,3090000,서울특별시 도봉구
도봉서원 춘·추향제,도봉서원,2015-04-28,2015-10-22,"분향례, 전폐례, 초헌례, 아헌례, 종헌례, 음복례 등 제례, 추모음악회",서울특별시 도봉구청,"서울특별시 도봉구청,(사)도봉서원",,02-905-4026,,,서울특별시 도봉구 도봉산길 90,,37.6853826,127.0325089,2018-05-01,3090000,서울특별시 도봉구
도봉산 산사축제,도봉산 일대,2015-10-02,2015-10-03,"산사음악회, 영산재, 사찰음식전 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-905-4026,,,서울특별시 도봉구,,37.6864694,127.033968,2018-05-01,3090000,서울특별시 도봉구
도봉구민 건강축제,"도봉구청, 중랑천변",2015-10-16,2015-10-17,"도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-4422,,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
도봉 과학축전,"도봉구청 로비, 아뜨리움, 대강당, 광장 등",2015-10-23,2015-10-28,과학 체험· 전시·교육·이벤트 마당 등,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2316,http://science.dobong.go.kr,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
도봉구 등축제,우이천,2015-09-11,2015-09-30,"둘리와 친구들과 어우러지는 범선, 동물친구들 등과 추석을 앞두고 있어 전통춤 시리즈로 구성하여 등 전시",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구,,37.6617028,127.0382005,2018-05-01,3090000,서울특별시 도봉구
제11회 우포늪 생명길 걷기대회,우포늪 일원,2020-11-14,2020-11-14,"개회식, 생명길 걷기, 전시행사, 체험행사, 공연",새마을운동창녕군지회,창녕군,,055-533-3612,,,경상남도 창녕군 창녕읍 당산길 9,,35.54054911,128.4927513,2020-11-25,5410000,경상남도 창녕군
담양대나무축제,죽녹원 및 관방제림 일원,2020-04-30,2020-05-05,"대나무 관련 전시, 체험, 공연, 판매 등",(사)담양대나무축제위원회,담양군,"문화체육관광부, 전라남도, 한국관광공사",061-380-3152,www.bamboofestival.co.kr,,전라남도 담양군 담양읍 추성로 1371,전라남도 담양군 담양읍 객사리 99-1,35.3206499973,126.9885732,2020-11-24,4850000,전라남도 담양군
담양산타축제,담양 원도심 및 메타프로방스 일원,2020-12-11,2020-12-27,"크리스마스거리조성, 크리스마스마켓 운영 등",담양산타축제추진위원회,담양군,,061-380-3152,,,전라남도 담양군 담양읍 추성로 1371,전라남도 담양군 담양읍 객사리 99-1,35.3206499973,126.9885732,2020-11-24,4850000,전라남도 담양군
추월산벚꽃축제,용면 추월산광장 일원,2020-04-07,2020-04-08,"벚꽃노래자랑, 특산품판매 등",용면청년회,담양군,,061-380-3152,,,전라남도 담양군 용면 추월산로 369,전라남도 담양군 용면 추성리 478-1,35.36483985,126.9872053,2020-11-24,4850000,전라남도 담양군
창평전통음식문화축제,창평슬로시티 일원,2020-10-26,2020-10-28,"슬로푸드전시, 체험, 판매 등",창평면주민자치위원회,담양군,,061-380-3152,,,전라남도 담양군 창평면 돌담길 56-24,전라남도 담양군 창평면 창평리 113-1,35.23525084,127.017861,2020-11-24,4850000,전라남도 담양군
가로수사랑음악회,가로수사랑군민연대,2020-11-03,2020-11-03,"지역출신가수공연, 특집라디오공개방송 등",담양가로수사랑군민연대,담양군,,061-380-3152,,,전라남도 담양군 담양읍 지침3길 7-5,전라남도 담양군 담양읍 지침리 132-28,35.31617363,126.9840063,2020-11-24,4850000,전라남도 담양군
고서포도축제,고서면 증암천변 일원,2021-07-20,2021-07-21,특산품 홍보 및 판매,고서포도축제추진위원회,담양군,,061-380-3152,,,전라남도 담양군 고서면 가사문학로 325,전라남도 담양군 고서면 동운리 583-4,35.22370105,126.9729391,2020-11-24,4850000,전라남도 담양군
제27회 대덕제 대구앞산축제,대구앞산빨래터공원+앞산맛둘레길일대,2020-04-25,2020-04-26,코로나19 확산방지를 사유로 취소,남구문화행사추진원회,남구문화행사추진원회,"대구광역시, 대구광역시 남구",053-664-3262,,,대구광역시 남구 앞산순환로 351-17,대구광역시 남구 대명동 1550-39,35.831799,128.5645966,2020-07-29,3440000,대구광역시 남구
제14회 신천돗자리음악회,신천둔치 중동교남편,2020-07-25,2020-07-26,코로나19 확산방지를 사유로 취소,남구문화행사추진원회,남구문화행사추진원회,"대구광역시, 대구광역시 남구",053-664-3262,,,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕2동,35.840562,128.606693,2020-07-29,3440000,대구광역시 남구
영천한약축제,영천한의마을(예정),2021-10-01,2021-10-03,"한방산업 전시관, 한방명의 진료관, 한방 관련 각종 체험, 경연, 참여 프로그램 등",영천한방산업발전협의회,영천한약축제추진위원회,경상북도 영천시,054-339-7187,https://www.yc.go.kr/toursub/herb/,,,경상북도 영천시 화룡동 128,35.9775233,128.9218161,2021-02-26,5100000,경상북도 영천시
달구벌목민관축제,서구 일대,2021-10-01,2021-10-31,"달구벌목민관 부임행차 재현 퍼레이드, 달구벌 목민관 추원제",대구광역시 서구 문화홍보과,대구광역시 서구 문화홍보과,,053-663-2184,http://www.dgs.go.kr,개최일자 미정,대구광역시 서구 국채보상로 257(평리동),,35.87232184,128.5592911,2021-04-21,6270000,대구광역시
